company_name,security_name,company_url,trading_code,scrip_code,isin,last_trading_price,last_trading_yield,closing_price,last_update,days_range,change_prev,change_next,days_value,fiftytwo_weeks_moving_range,opening_price,days_volume,adjusted_opening_price,days_trade,yesterday_closing_price,market_capitalization,remaining_maturity,issuer,tenure,issue_date,cupon_rate,debut_trading_date_basic,cupon_frequency,maturity_date,security_catagory,electronic_share_basic,year_basis,authorized_capital,debut_trading_date,paid_up_capital,type_of_instrument,face_par_value,market_lot,total_outstanding_security,sector,address_head_office,address_factory,address_issuer,concern_department,contact_phone,fax,email,web,company_secretary_name,secretary_cell_no,secretary_telephone_no,secratary_email,listing_year,market_catagory,electronic_share,share_holding_percent_1,sponsor_or_director_1,govt_1,institute_1,foreign_1,public_1,share_holding_percent_2,sponsor_or_director_2,govt_2,institute_2,foreign_2,public_2,share_holding_percent_3,sponsor_or_director_3,govt_3,institute_3,foreign_3,public_3,remarks
N/A,20Y BGTB 25/03/2029,https://www.dsebd.org/displayCompany.php?name=TB20Y0329,TB20Y0329,88375,BD0929361204,N/A,N/A,124.15,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,124.15,N/A,124.20,"1,863.000","6 years, 3 months, 22 days",Bangladesh Bank,20 Years,"25 Mar, 2009",12.98,"10 Oct, 2022",2,"25 Mar, 2029",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"15,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 24/03/2030,https://www.dsebd.org/displayCompany.php?name=TB20Y0330,TB20Y0330,88398,BD0930281201,N/A,N/A,105.62,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,105.62,N/A,105.72,"1,057.200","7 years, 3 months, 21 days",Bangladesh Bank,20 Years,"24 Mar, 2010",9.15,"10 Oct, 2022",2,"24 Mar, 2030",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"10,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 23/03/2031,https://www.dsebd.org/displayCompany.php?name=TB20Y0331,TB20Y0331,88417,BD0931361200,N/A,N/A,109.28,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,109.28,N/A,109.57,"1,753.120","8 years, 3 months, 20 days",Bangladesh Bank,20 Years,"23 Mar, 2011",9.63,"10 Oct, 2022",2,"23 Mar, 2031",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"16,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 28/03/2032,https://www.dsebd.org/displayCompany.php?name=TB20Y0332,TB20Y0332,88434,BD0932361209,N/A,N/A,124.94,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,124.94,N/A,125.15,"3,128.750","9 years, 3 months, 25 days",Bangladesh Bank,20 Years,"28 Mar, 2012",12.03,"10 Oct, 2022",2,"28 Mar, 2032",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"25,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/03/2033,https://www.dsebd.org/displayCompany.php?name=TB20Y0333,TB20Y0333,88448,BD0933361208,N/A,N/A,128.70,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,128.70,N/A,129.22,"1,292.200","10 years, 3 months, 24 days",Bangladesh Bank,20 Years,"27 Mar, 2013",12.48,"10 Oct, 2022",2,"27 Mar, 2033",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"10,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/03/2034,https://www.dsebd.org/displayCompany.php?name=TB20Y0334,TB20Y0334,88462,BD0934361207,N/A,N/A,125.64,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.64,N/A,126.92,"3,807.600","11 years, 3 months, 24 days",Bangladesh Bank,20 Years,"27 Mar, 2014",12.14,"10 Oct, 2022",2,"27 Mar, 2034",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"30,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 30/03/2042,https://www.dsebd.org/displayCompany.php?name=TB20Y0342,TB20Y0342,88484,BD0942781206,N/A,N/A,91.60,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,91.60,N/A,91.90,"30,786.500","19 years, 3 months, 27 days",Bangladesh Bank,20 Years,"30 Mar, 2022",7.75,"10 Oct, 2022",2,"30 Mar, 2042",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"335,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 23/04/2028,https://www.dsebd.org/displayCompany.php?name=TB20Y0428,TB20Y0428,88352,BD0928401209,N/A,N/A,122.49,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,122.49,N/A,122.57,612.850,"5 years, 4 months, 20 days",Bangladesh Bank,20 Years,"23 Apr, 2008",13.14,"10 Oct, 2022",2,"23 Apr, 2028",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"5,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 29/04/2029,https://www.dsebd.org/displayCompany.php?name=TB20Y0429,TB20Y0429,88379,BD0929401208,N/A,N/A,116.99,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,116.99,N/A,117.04,"1,755.600","6 years, 4 months, 26 days",Bangladesh Bank,20 Years,"29 Apr, 2009",11.48,"10 Oct, 2022",2,"29 Apr, 2029",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"15,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 28/04/2030,https://www.dsebd.org/displayCompany.php?name=TB20Y0430,TB20Y0430,88399,BD0930321205,N/A,N/A,105.74,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,105.74,N/A,105.85,846.800,"7 years, 4 months, 25 days",Bangladesh Bank,20 Years,"28 Apr, 2010",9.17,"10 Oct, 2022",2,"28 Apr, 2030",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"8,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/04/2031,https://www.dsebd.org/displayCompany.php?name=TB20Y0431,TB20Y0431,88419,BD0931401204,N/A,N/A,109.01,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,109.01,N/A,109.13,"1,909.775","8 years, 4 months, 24 days",Bangladesh Bank,20 Years,"27 Apr, 2011",9.65,"10 Oct, 2022",2,"27 Apr, 2031",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"17,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 25/04/2032,https://www.dsebd.org/displayCompany.php?name=TB20Y0432,TB20Y0432,88435,BD0932401203,N/A,N/A,125.26,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.26,N/A,125.50,"4,078.750","9 years, 4 months, 22 days",Bangladesh Bank,20 Years,"25 Apr, 2012",12.07,"10 Oct, 2022",2,"25 Apr, 2032",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"32,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 24/04/2033,https://www.dsebd.org/displayCompany.php?name=TB20Y0433,TB20Y0433,88449,BD0933401202,N/A,N/A,128.76,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,128.76,N/A,129.31,"1,293.100","10 years, 4 months, 21 days",Bangladesh Bank,20 Years,"24 Apr, 2013",12.48,"10 Oct, 2022",2,"24 Apr, 2033",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"10,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 23/04/2034,https://www.dsebd.org/displayCompany.php?name=TB20Y0434,TB20Y0434,88463,BD0934401201,N/A,N/A,125.72,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.72,N/A,126.93,"3,807.900","11 years, 4 months, 20 days",Bangladesh Bank,20 Years,"23 Apr, 2014",12.14,"10 Oct, 2022",2,"23 Apr, 2034",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"30,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/04/2036,https://www.dsebd.org/displayCompany.php?name=TB20Y0436,TB20Y0436,88475,BD0936401209,N/A,N/A,97.93,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,97.93,N/A,99.06,"28,232.100","13 years, 4 months, 24 days",Bangladesh Bank,20 Years,"27 Apr, 2016",8.24,"10 Oct, 2022",2,"27 Apr, 2036",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"285,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 28/05/2028,https://www.dsebd.org/displayCompany.php?name=TB20Y0528,TB20Y0528,88354,BD0928441205,N/A,N/A,122.71,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,122.71,N/A,122.74,613.700,"5 years, 5 months, 25 days",Bangladesh Bank,20 Years,"28 May, 2008",13.13,"10 Oct, 2022",2,"28 May, 2028",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"5,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/05/2029,https://www.dsebd.org/displayCompany.php?name=TB20Y0529,TB20Y0529,88380,BD0929441204,N/A,N/A,115.18,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,115.18,N/A,115.24,"1,534.997","6 years, 5 months, 24 days",Bangladesh Bank,20 Years,"27 May, 2009",11.09,"10 Oct, 2022",2,"27 May, 2029",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"13,320,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 26/05/2030,https://www.dsebd.org/displayCompany.php?name=TB20Y0530,TB20Y0530,88401,BD0930361201,N/A,N/A,105.69,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,105.69,N/A,105.87,794.025,"7 years, 5 months, 23 days",Bangladesh Bank,20 Years,"26 May, 2010",9.2,"10 Oct, 2022",2,"26 May, 2030",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"7,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 25/05/2031,https://www.dsebd.org/displayCompany.php?name=TB20Y0531,TB20Y0531,88421,BD0931441200,N/A,N/A,109.13,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,109.13,N/A,109.25,"1,911.875","8 years, 5 months, 22 days",Bangladesh Bank,20 Years,"25 May, 2011",9.65,"10 Oct, 2022",2,"25 May, 2031",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"17,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 30/05/2032,https://www.dsebd.org/displayCompany.php?name=TB20Y0532,TB20Y0532,88437,BD0932441209,N/A,N/A,125.56,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.56,N/A,125.82,"4,089.150","9 years, 5 months, 27 days",Bangladesh Bank,20 Years,"30 May, 2012",12.1,"10 Oct, 2022",2,"30 May, 2032",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"32,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 29/05/2033,https://www.dsebd.org/displayCompany.php?name=TB20Y0533,TB20Y0533,88450,BD0933441208,N/A,N/A,128.78,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,128.78,N/A,129.36,"1,293.600","10 years, 5 months, 26 days",Bangladesh Bank,20 Years,"29 May, 2013",12.47,"10 Oct, 2022",2,"29 May, 2033",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"10,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 28/05/2034,https://www.dsebd.org/displayCompany.php?name=TB20Y0534,TB20Y0534,88464,BD0934441207,N/A,N/A,125.84,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.84,N/A,126.96,"4,443.600","11 years, 5 months, 25 days",Bangladesh Bank,20 Years,"28 May, 2014",12.14,"10 Oct, 2022",2,"28 May, 2034",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"35,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 20/05/2040,https://www.dsebd.org/displayCompany.php?name=TB20Y0540,TB20Y0540,88481,BD0940401203,N/A,N/A,104.49,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,104.49,N/A,105.75,"47,587.500","17 years, 5 months, 17 days",Bangladesh Bank,20 Years,"20 May, 2020",9.2,"10 Oct, 2022",2,"20 May, 2040",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"450,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 25/06/2028,https://www.dsebd.org/displayCompany.php?name=TB20Y0628,TB20Y0628,88357,BD0928481201,N/A,N/A,122.70,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,122.70,N/A,122.70,613.500,"5 years, 6 months, 22 days",Bangladesh Bank,20 Years,"25 Jun, 2008",13.09,"10 Oct, 2022",2,"25 Jun, 2028",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"5,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 24/06/2029,https://www.dsebd.org/displayCompany.php?name=TB20Y0629,TB20Y0629,88383,BD0929481200,N/A,N/A,110.15,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,110.15,N/A,110.21,881.680,"6 years, 6 months, 21 days",Bangladesh Bank,20 Years,"24 Jun, 2009",10.07,"10 Oct, 2022",2,"24 Jun, 2029",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"8,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 23/06/2030,https://www.dsebd.org/displayCompany.php?name=TB20Y0630,TB20Y0630,88403,BD0930401205,N/A,N/A,105.17,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,105.17,N/A,105.43,790.725,"7 years, 6 months, 20 days",Bangladesh Bank,20 Years,"23 Jun, 2010",9.15,"10 Oct, 2022",2,"23 Jun, 2030",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"7,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 29/06/2031,https://www.dsebd.org/displayCompany.php?name=TB20Y0631,TB20Y0631,88422,BD0931471207,N/A,N/A,109.25,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,109.25,N/A,109.36,"2,023.160","8 years, 6 months, 26 days",Bangladesh Bank,20 Years,"29 Jun, 2011",9.65,"10 Oct, 2022",2,"29 Jun, 2031",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"18,500,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 27/06/2032,https://www.dsebd.org/displayCompany.php?name=TB20Y0632,TB20Y0632,88439,BD0932481205,N/A,N/A,125.73,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.73,N/A,126.02,"4,297.282","9 years, 6 months, 24 days",Bangladesh Bank,20 Years,"27 Jun, 2012",12.12,"10 Oct, 2022",2,"27 Jun, 2032",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"34,100,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 26/06/2033,https://www.dsebd.org/displayCompany.php?name=TB20Y0633,TB20Y0633,88451,BD0933481204,N/A,N/A,128.89,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,128.89,N/A,129.48,"1,294.800","10 years, 6 months, 23 days",Bangladesh Bank,20 Years,"26 Jun, 2013",12.48,"10 Oct, 2022",2,"26 Jun, 2033",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"10,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,20Y BGTB 25/06/2034,https://www.dsebd.org/displayCompany.php?name=TB20Y0634,TB20Y0634,88465,BD0934481203,N/A,N/A,125.75,3:10 PM,N/A,N/A,-100.00%,N/A,0.00 - 0.00,N/A,N/A,125.75,N/A,126.80,"4,438.000","11 years, 6 months, 22 days",Bangladesh Bank,20 Years,"25 Jun, 2014",12.12,"10 Oct, 2022",2,"25 Jun, 2034",A,Y,365,N/A,N/A,N/A,Debt,100,1000,"35,000,000",G-SEC (T.Bond),N/A,N/A,"Director, Debt Management Department, Bangladesh Bank, Head Office, Dhaka-1000.",Debt Management Department,88029530511,N/A,gm.dmd@bb.org.bd,https://www.bb.org.bd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
